0,0,80
0,1,65
0,2,58
0,3,53
0,4,48
0,5,44
0,6,43
0,7,42
0,8,41
0,9,40
0,10,39
0,11,39
0,12,38
0,13,39
0,14,41
0,15,42
0,16,47
0,17,52
0,18,54
0,19,54
1,0,80
1,1,63
1,2,56
1,3,50
1,4,45
1,5,43
1,6,41
1,7,38
1,8,37
1,9,36
1,10,35
1,11,34
1,12,34
1,13,34
1,14,34
1,15,35
1,16,37
1,17,39
1,18,39
1,19,40
2,0,80
2,1,62
2,2,54
2,3,47
2,4,44
2,5,40
2,6,37
2,7,36
2,8,34
2,9,32
2,10,32
2,11,31
2,12,30
2,13,30
2,14,30
2,15,30
2,16,31
2,17,32
2,18,32
2,19,32
3,0,80
3,1,60
3,2,56
3,3,48
3,4,41
3,5,39
3,6,34
3,7,33
3,8,31
3,9,30
3,10,29
3,11,28
3,12,27
3,13,26
3,14,27
3,15,27
3,16,27
3,17,28
3,18,28
3,19,28
4,0,80
4,1,65
4,2,54
4,3,46
4,4,39
4,5,36
4,6,32
4,7,30
4,8,29
4,9,28
4,10,27
4,11,25
4,12,25
4,13,24
4,14,24
4,15,24
4,16,24
4,17,25
4,18,25
4,19,25
5,0,80
5,1,64
5,2,52
5,3,43
5,4,39
5,5,34
5,6,32
5,7,29
5,8,26
5,9,25
5,10,24
5,11,23
5,12,23
5,13,22
5,14,22
5,15,22
5,16,22
5,17,22
5,18,22
5,19,22
6,0,80
6,1,62
6,2,50
6,3,45
6,4,37
6,5,34
6,6,29
6,7,27
6,8,26
6,9,25
6,10,23
6,11,22
6,12,21
6,13,21
6,14,20
6,15,20
6,16,20
6,17,20
6,18,21
6,19,21
7,0,80
7,1,64
7,2,48
7,3,43
7,4,35
7,5,32
7,6,29
7,7,26
7,8,24
7,9,23
7,10,22
7,11,21
7,12,20
7,13,19
7,14,19
7,15,19
7,16,19
7,17,19
7,18,19
7,19,19
8,0,80
8,1,62
8,2,48
8,3,43
8,4,34
8,5,31
8,6,27
8,7,25
8,8,23
8,9,22
8,10,21
8,11,20
8,12,19
8,13,18
8,14,18
8,15,18
8,16,18
8,17,18
8,18,18
8,19,18
9,0,80
9,1,64
9,2,48
9,3,42
9,4,34
9,5,31
9,6,26
9,7,24
9,8,23
9,9,21
9,10,21
9,11,19
9,12,18
9,13,18
9,14,17
9,15,17
9,16,17
9,17,17
9,18,17
9,19,17
10,0,80
10,1,55
10,2,47
10,3,41
10,4,36
10,5,29
10,6,27
10,7,23
10,8,22
10,9,21
10,10,20
10,11,18
10,12,18
10,13,17
10,14,17
10,15,17
10,16,17
10,17,17
10,18,17
10,19,17
11,0,80
11,1,57
11,2,50
11,3,39
11,4,35
11,5,29
11,6,26
11,7,24
11,8,23
11,9,20
11,10,19
11,11,18
11,12,17
11,13,17
11,14,16
11,15,16
11,16,16
11,17,16
11,18,16
11,19,16
12,0,80
12,1,56
12,2,47
12,3,41
12,4,36
12,5,29
12,6,27
12,7,23
12,8,22
12,9,21
12,10,20
12,11,18
12,12,17
12,13,17
12,14,16
12,15,16
12,16,16
12,17,16
12,18,17
12,19,16
13,0,80
13,1,59
13,2,51
13,3,40
13,4,36
13,5,30
13,6,28
13,7,25
13,8,22
13,9,21
13,10,20
13,11,18
13,12,18
13,13,17
13,14,17
13,15,17
13,16,17
13,17,17
13,18,17
13,19,17
14,0,80
14,1,61
14,2,48
14,3,39
14,4,36
14,5,30
14,6,27
14,7,25
14,8,24
14,9,21
14,10,21
14,11,20
14,12,18
14,13,18
14,14,18
14,15,18
14,16,18
14,17,18
14,18,18
14,19,18
15,0,80
15,1,62
15,2,51
15,3,42
15,4,35
15,5,33
15,6,28
15,7,26
15,8,24
15,9,23
15,10,22
15,11,20
15,12,20
15,13,19
15,14,19
15,15,19
15,16,20
15,17,21
15,18,21
15,19,21
16,0,80
16,1,64
16,2,50
16,3,42
16,4,38
16,5,33
16,6,30
16,7,28
16,8,25
16,9,25
16,10,24
16,11,23
16,12,22
16,13,21
16,14,21
16,15,22
16,16,23
16,17,25
16,18,25
16,19,25
17,0,80
17,1,60
17,2,53
17,3,44
17,4,39
17,5,36
17,6,31
17,7,30
17,8,28
17,9,27
17,10,26
17,11,25
17,12,25
17,13,24
17,14,25
17,15,26
17,16,29
17,17,32
17,18,33
17,19,33
18,0,80
18,1,62
18,2,51
18,3,44
18,4,42
18,5,37
18,6,35
18,7,33
18,8,32
18,9,31
18,10,30
18,11,29
18,12,29
18,13,29
18,14,32
18,15,33
18,16,39
18,17,46
18,18,49
18,19,50
19,0,80
19,1,63
19,2,53
19,3,47
19,4,42
19,5,40
19,6,37
19,7,36
19,8,35
19,9,34
19,10,34
19,11,34
19,12,34
19,13,36
19,14,40
19,15,43
19,16,56
19,17,76
19,18,89
19,19,97
